City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kourou,5.1552,-52.6478,24.03,88,54,4.04,GF,1690228575
84,al harak,32.7493,36.3099,26.88,45,0,2.88,SY,1690228575
85,blackmans bay,-43.0167,147.3167,9.07,83,95,2.12,AU,1690228575
86,hithadhoo,-0.6,73.0833,28.27,78,100,6.83,MV,1690228576
87,jaguaruana,-4.8339,-37.7811,29.7,55,88,5.21,BR,1690228576
88,aasiaat,68.7098,-52.8699,3.68,95,98,2.8,GL,1690228576
89,amga,60.8953,131.9608,17.28,85,99,1.4,RU,1690228576
90,saldanha,-33.0117,17.9442,6.03,72,0,4.06,ZA,1690228293
91,novoorsk,51.381,58.9813,18.36,53,35,3.11,RU,1690228577
92,lycksele,64.5954,18.6735,14.93,88,100,1.03,SE,1690228577
93,zhangjiakou,40.81,114.8794,20.61,67,0,0.98,CN,1690228577
94,santarem,-2.4431,-54.7083,32.07,74,20,5.14,BR,1690228577
95,vila franca do campo,37.7167,-25.4333,23.23,76,44,1.89,PT,1690228577
96,clarksdale,34.2001,-90.5709,32.99,55,3,3.09,US,1690228577
97,prieska,-29.6641,22.7474,10.22,33,100,2.73,ZA,1690228578
98,noumea,-22.2763,166.4572,20.0,99,99,1.96,NC,1690228578
99,tura,25.5198,90.2201,23.79,96,100,2.14,IN,1690228578
100,el granada,37.5027,-122.4694,30.89,71,75,7.72,US,1690228578
101,belmonte,-15.8631,-38.8828,23.14,75,0,5.13,BR,1690228578
102,pamandzi,-12.7967,45.2794,23.88,78,0,2.06,YT,1690228578
103,tobruk,32.0836,23.9764,27.12,82,0,6.09,LY,1690228579
104,ishim,56.1128,69.4902,14.24,92,13,3.23,RU,1690228579
105,tralee,52.2704,-9.7026,13.4,83,100,2.9,IE,1690228554
106,margate,51.3813,1.3862,16.06,78,100,2.24,GB,1690228360
107,natal,-5.795,-35.2094,28.36,65,40,8.75,BR,1690228405
108,saint-francois,46.4154,3.9054,21.69,56,0,3.6,FR,1690228579
109,tsiombe,-25.3,45.4833,16.55,90,58,1.69,MG,1690228580
110,edinburgh of the seven seas,-37.0676,-12.3116,15.0,77,70,16.4,SH,1690228580
111,shingu,33.7333,135.9833,22.96,89,0,1.69,JP,1690228580
112,ormara,25.2088,64.6357,28.3,91,95,7.02,PK,1690228580
113,barra de santo antonio,-9.4047,-35.5072,25.6,81,3,4.08,BR,1690228580
114,buchloe,48.0333,10.7333,17.91,87,99,3.09,DE,1690228580
115,dembi dolo,8.5333,34.8,14.32,94,100,1.44,ET,1690228581
116,la mira,18.035,-102.3266,31.94,57,100,2.54,MX,1690228581
117,flying fish cove,-10.4217,105.6791,23.82,94,100,3.6,CX,1690228581
118,hilo,19.7297,-155.09,33.49,78,100,2.57,US,1690228463
119,keflavik,64.0049,-22.5624,12.24,76,100,4.12,IS,1690228581
120,bredasdorp,-34.5322,20.0403,7.67,74,0,2.36,ZA,1690228582
121,ribeira grande,38.5167,-28.7,23.76,83,75,3.58,PT,1690228582
122,campbell river,50.0163,-125.2446,17.21,88,100,8.75,CA,1690228582
123,klyuchi,52.2667,79.1667,19.5,59,16,3.76,RU,1690228582
124,machico,32.7,-16.7667,25.56,72,75,3.09,PT,1690228582
125,kenora,49.8167,-94.4337,25.54,36,20,4.63,CA,1690228303
126,sarangani,5.4033,125.4636,27.38,80,100,5.91,PH,1690228583
127,namibe,-15.1961,12.1522,18.42,81,100,3.1,AO,1690228583
128,northam,51.0333,-4.2167,16.45,76,14,5.08,GB,1690228305
129,severo-yeniseyskiy,60.3725,93.0408,13.2,93,21,0.52,RU,1690228584
130,monte maiz,-33.2046,-62.6008,13.3,52,20,5.02,AR,1690228584
131,wailua homesteads,22.0669,-159.378,27.44,78,100,7.2,US,1690228585
132,mount pearl,47.5166,-52.7813,25.25,82,75,7.72,CA,1690228585
133,cooper's town,26.8667,-77.5167,30.08,66,16,1.77,BS,1690228585
134,vorgashor,67.5833,63.95,16.07,73,100,1.5,RU,1690228585
135,georgetown,5.4112,100.3354,27.96,84,20,1.03,MY,1690228445
136,fort bragg,35.139,-79.006,32.47,63,0,2.06,US,1690228586
137,salaverry,-8.2333,-78.9667,23.21,77,0,6.0,PE,1690228586
138,belvedere marittimo,39.6179,15.8617,30.62,37,0,2.76,IT,1690228587
139,nueva gerona,21.8833,-82.8,32.7,52,1,4.0,CU,1690228587
140,guarapari,-20.6667,-40.4975,23.27,81,1,2.7,BR,1690228587
141,ar ruways,24.1103,52.7306,32.2,72,100,1.93,AE,1690228587
142,port elizabeth,-33.918,25.5701,9.16,81,0,4.12,ZA,1690228587
143,lorengau,-2.0226,147.2712,25.0,90,100,2.51,PG,1690228588
144,san patricio,28.017,-97.5169,37.32,37,9,7.42,US,1690228588
145,afaahiti,-17.75,-149.2833,26.93,83,6,9.16,PF,1690228588
146,meadow lakes,61.6247,-149.6011,21.09,70,0,1.54,US,1690228588
147,torghay,49.6339,63.4981,27.17,24,75,5.12,KZ,1690228588
148,chhor,25.5167,69.7667,29.97,76,98,6.51,PK,1690228589
149,broome,42.2506,-75.833,28.17,68,40,5.14,US,1690228589
150,qingdao,36.0986,120.3719,25.78,100,100,2.0,CN,1690228589
151,arkhangel'sk,64.5401,40.5433,11.41,97,44,2.12,RU,1690228589
152,port alfred,-33.5906,26.891,12.34,68,0,4.45,ZA,1690228589
153,vyazemskiy,47.5378,134.7525,19.67,95,2,2.14,RU,1690228589
154,kingston,17.997,-76.7936,34.58,62,20,10.29,JM,1690228590
155,san martin de los andes,-40.1604,-71.3486,2.03,95,100,0.89,AR,1690228590
156,callao,-12.0667,-77.15,24.16,53,20,5.66,PE,1690228312
157,mana,5.6592,-53.7767,26.67,87,100,4.11,GF,1690228590
158,lata,40.1629,-8.3327,19.34,84,5,2.85,PT,1690228590
159,isafjordur,66.0755,-23.124,10.26,93,100,2.46,IS,1690228591
160,longyearbyen,78.2186,15.6401,10.91,71,75,7.72,SJ,1690228591
161,merizo village,13.2658,144.6691,28.31,90,100,5.07,GU,1690228591
162,cabo san lucas,22.8909,-109.9124,35.9,70,18,1.79,MX,1690228384
163,chonchi,-42.6128,-73.8092,7.56,95,100,4.13,CL,1690228591
164,fale old settlement,-9.3852,-171.2468,28.87,71,9,7.81,TK,1690228591
165,luderitz,-26.6481,15.1594,13.96,62,100,4.35,NA,1690228591
166,ambovombe,-25.1667,46.0833,17.7,82,84,2.38,MG,1690228592
167,palu,-0.8917,119.8707,23.9,96,31,0.86,ID,1690228592
168,lodja,-3.4833,23.4333,29.41,31,98,0.32,CD,1690228592
169,newton,42.337,-71.2092,30.55,62,0,6.17,US,1690228452
170,ankazoabo,-22.2833,44.5167,17.02,56,6,3.28,MG,1690228592
171,anadyr,64.75,177.4833,11.28,87,75,6.0,RU,1690228592
172,malango,-2.9627,119.9001,18.15,98,75,0.39,ID,1690228593
173,codrington,-38.2667,141.9667,11.5,67,98,1.58,AU,1690228593
174,mawu,29.5923,107.3139,22.89,93,93,0.73,CN,1690228593
175,lerwick,60.1545,-1.1494,12.0,86,74,7.16,GB,1690228593
176,leninskoye,41.7589,69.3864,27.43,24,0,1.95,KZ,1690228593
177,olonkinbyen,70.9221,-8.7187,4.98,92,100,5.92,SJ,1690228593
178,punta arenas,-53.15,-70.9167,-0.97,77,100,2.38,CL,1690228594
179,novovarshavka,54.1721,74.6946,16.22,80,0,3.6,RU,1690228594
180,inirida,3.8653,-67.9239,28.5,77,52,0.75,CO,1690228594
181,hadibu,12.65,54.0333,25.09,79,56,8.24,YE,1690228594
182,bowen,-20.0167,148.2333,12.75,78,4,3.46,AU,1690228594
183,tomatlan,19.9333,-105.25,32.49,56,45,4.84,MX,1690228594
184,kodiak,57.79,-152.4072,12.73,76,100,4.12,US,1690228399
185,whitehorse,60.7161,-135.0538,16.12,82,75,2.57,CA,1690228595
186,shalqar,47.8333,59.6,28.58,28,2,5.54,KZ,1690228595
187,jingdezhen,29.2947,117.2079,25.57,92,100,1.2,CN,1690228595
